hash,diff,message,project,split,diff_languages
884cfdfd460a90b59150c648d32ca7a10d097b12,"diff --git a/cytomine/models/software.py b/cytomine/models/software.py
index <HASH>..<HASH> 100755
--- a/cytomine/models/software.py
+++ b/cytomine/models/software.py
@@ -212,7 +212,7 @@ class Job(Model):
                 job_id=self.id,
                 statusComment=attributes.get(""statusComment"", self.statusComment),
                 status=_HUMAN_READABLE_JOB_STATUS[attributes.get(""status"", self.status)],
-                progress=attributes.get(""progess"", self.progress)
+                progress=attributes.get(""progress"", self.progress)
             )
         )
         return super(Job, self).update(id=id, **attributes)","Fix typo in job status update

(cherry picked from commit 0eca<I>d2d<I>a7e0a3d<I>b<I>f0fad<I>e1ed1d1)",cytomine_Cytomine-python-client,train,py
9fa692ba163921cfa88d0cc011708f2a64f8af05,"diff --git a/datadog_checks_dev/datadog_checks/dev/tooling/signing.py b/datadog_checks_dev/datadog_checks/dev/tooling/signing.py
index <HASH>..<HASH> 100644
--- a/datadog_checks_dev/datadog_checks/dev/tooling/signing.py
+++ b/datadog_checks_dev/datadog_checks/dev/tooling/signing.py
@@ -96,7 +96,14 @@ def update_link_metadata(checks, core_workflow=True):
     products = []
     for check in checks:
         products.append(path_join(check, 'datadog_checks'))
-        products.append(path_join(check, 'setup.py'))
+
+        setup_file = path_join(check, 'setup.py')
+        if file_exists(setup_file):
+            products.append(setup_file)
+
+        project_file = path_join(check, 'pyproject.toml')
+        if file_exists(project_file):
+            products.append(project_file)
 
         dep_file = path_join(check, 'requirements.in')
         if file_exists(dep_file):",Fix package signing for checks with `pyproject.toml` (#<I>),DataDog_integrations-core,train,py
23de709aec46612a2b06c9379d0cb54a48e582de,"diff --git a/setup.py b/setup.py
index <HASH>..<HASH> 100644
--- a/setup.py
+++ b/setup.py
@@ -22,19 +22,19 @@ setup(name='python-linkedin',
           'Intended Audience :: Developers',
           'License :: OSI Approved :: MIT License',
           'Operating System :: OS Independent',
-          'Programming Language :: Python :: 2.7',
           'Programming Language :: Python :: 3',
           'Programming Language :: Python :: 3.4',
+          'Programming Language :: Python :: 3.5',
           'Natural Language :: English',
       ],
       keywords='linkedin python',
       author='Ozgur Vatansever',
       author_email='ozgurvt@gmail.com',
-      maintainer='Ozgur Vatansever',
-      maintainer_email='ozgurvt@gmail.com',
-      url='http://ozgur.github.com/python-linkedin/',
+      maintainer='Marshall Humble',
+      maintainer_email='humblejm@gmail.com',
+      url='https://github.com/marshallhumble/python-linkedin',
       license='MIT',
       packages=['linkedin'],
-      install_requires=['requests>=1.1.0', 'requests-oauthlib>=0.3'],
+      install_requires=['requests>=2.8.1', 'requests-oauthlib>=0.5.0'],
       zip_safe=False
 )","Update setup.py

Changed settings in the setup.py file; moved to new versions that I am working with, removed <I> support, added <I> changed e-mail addresses",DEKHTIARJonathan_python3-linkedin,train,py
d03e227141ad74298f25ce68c1dd4198abd22623,"diff --git a/src/Util/Autoload/ClassLoader.php b/src/Util/Autoload/ClassLoader.php
index <HASH>..<HASH> 100644
--- a/src/Util/Autoload/ClassLoader.php
+++ b/src/Util/Autoload/ClassLoader.php
@@ -16,6 +16,9 @@ use function interface_exists;
 use function spl_autoload_register;
 use function trait_exists;
 
+/**
+ * @deprecated
+ */
 final class ClassLoader
 {
     /** @var array<class-string, ReflectionClass> */",Mark ClassLoader as deprecated,Roave_BetterReflection,train,php
3a917963245e49ba00eb8772fb0835773a4a1052,"diff --git a/src/ShopifyApp/Messaging/Jobs/AppUninstalledJob.php b/src/ShopifyApp/Messaging/Jobs/AppUninstalledJob.php
index <HASH>..<HASH> 100644
--- a/src/ShopifyApp/Messaging/Jobs/AppUninstalledJob.php
+++ b/src/ShopifyApp/Messaging/Jobs/AppUninstalledJob.php
@@ -10,6 +10,7 @@ use Illuminate\Queue\SerializesModels;
 use Osiset\ShopifyApp\Actions\CancelCurrentPlan;
 use Osiset\ShopifyApp\Contracts\Commands\Shop as IShopCommand;
 use Osiset\ShopifyApp\Contracts\Queries\Shop as IShopQuery;
+use function Osiset\ShopifyApp\getShopifyConfig;
 use Osiset\ShopifyApp\Objects\Values\ShopDomain;
 use stdClass;
 
@@ -78,6 +79,13 @@ class AppUninstalledJob implements ShouldQueue
         // Purge shop of token, plan, etc.
         $shopCommand->clean($shopId);
 
+        // Check freemium mode
+        $freemium = getShopifyConfig('billing_freemium_enabled');
+        if ($freemium === true) {
+            // Add the freemium flag to the shop
+            $shopCommand->setAsFreemium($shopId);
+        }
+
         // Soft delete the shop.
         $shopCommand->softDelete($shopId);","<I>-Freemium mode uninstall flag added on webhook (#<I>)

* <I>-Freemium mode uninstall flag added on webhook



* styleci fix



* styleci fix",ohmybrew_laravel-shopify,train,php
f387d25cf9a5e56549866e1d8fe78e02a7db30ab,"diff --git a/concepts/frame-list/main.js b/concepts/frame-list/main.js
index <HASH>..<HASH> 100644
--- a/concepts/frame-list/main.js
+++ b/concepts/frame-list/main.js
@@ -12,7 +12,8 @@ var frameList = FrameList(frames)
 
 var state = mercury.hash({
     frames: mercury.hash(initialFrameData),
-    editor: mercury.value(frameList)
+    editor: mercury.value(null),
+    frameList: mercury.value(frameList)
 })
 
 // When the data changes, save it
@@ -23,10 +24,12 @@ frameList.onSelectFrame(function (frameId) {
     var editor = FrameEditor(state.frames[frameId])
 
     state.editor.set(editor)
+    state.frameList.set(null)
 
     editor.onExit(function () {
         // Restore the frame list
-        state.editor.set(frameList)
+        state.frameList.set(frameList)
+        state.editor.set(null)
     })
 })
 
@@ -36,7 +39,10 @@ function render(state) {
     // The immutable internal event list is also passed in
     // Event listeners are obviously not serializable, but 
     // they can expose their state (listener set)
-    return h(state.editor.partial())
+    return h(
+        state.editor ? state.editor.partial() :
+            state.frameList.partial()
+    )
 }
 
 // setup the loop and go.","Use two values in the state for editor & frameList

This reduces confusion between what is currently rendering.
  This will avoid duck type checks in the view and allow the
  rendering wrapper to have a slightly different container
  for each type of widget.",Raynos_mercury,train,js
aaa2d8ec7098c7f803e65dc47e549f52fc1e3683,"diff --git a/setup.py b/setup.py
index <HASH>..<HASH> 100644
--- a/setup.py
+++ b/setup.py
@@ -2,7 +2,7 @@ from setuptools import setup
 
 setup(
 	name='bumpy',
-	version='0.2.3',
+	version='0.2.4',
 	description='Create build files and CLI tools easily.',
 	long_description=open('README.rst').read(),
 	url='http://github.com/scizzorz/bumpy',",Bumpy to <I>,scizzorz_bumpy,train,py
17ed8ffd24d21b2bccd0d12c2d0cdf1117db6e44,"diff --git a/src/components/player.js b/src/components/player.js
index <HASH>..<HASH> 100644
--- a/src/components/player.js
+++ b/src/components/player.js
@@ -39,6 +39,10 @@ var baseUrl = currentScriptUrl().replace(/\/[^\/]+$/, """")
  * ```
  */
 export default class Player extends BaseObject {
+
+  set loader(loader) { this._loader = loader }
+  get loader() { return this._loader = this._loader || new Loader(this.options.plugins || {}, this.options.playerId) }
+
   /**
    * ## Player's constructor
    *
@@ -113,8 +117,7 @@ export default class Player extends BaseObject {
     this.options = $.extend(defaultOptions, options)
     this.options.sources = this.normalizeSources(options)
     this.registerOptionEventListeners()
-    this.loader = new Loader(this.options.plugins || {}, this.options.playerId)
-    this.coreFactory = new CoreFactory(this, this.loader)
+    this.coreFactory = new CoreFactory(this)
     this.playerInfo = PlayerInfo.getInstance(this.options.playerId)
     this.playerInfo.currentSize = {width: options.width, height: options.height}
     this.playerInfo.options = this.options",player: allow overriding loader instance by setting the loader property,clappr_clappr,train,js
1af5b9aeedd8bbcc897077bd837b8b0827cf94f8,"diff --git a/sources/scalac/transformer/TypesAsValuesPhase.java b/sources/scalac/transformer/TypesAsValuesPhase.java
index <HASH>..<HASH> 100644
--- a/sources/scalac/transformer/TypesAsValuesPhase.java
+++ b/sources/scalac/transformer/TypesAsValuesPhase.java
@@ -975,6 +975,9 @@ public class TypesAsValuesPhase extends Phase {
                         addConstructorsNeededBy(roots, args[i], set);
                 }
                 break;
+            case CompoundType(Type[] parts, _):
+                for (int i = 0; i < parts.length; ++i)
+                    addConstructorsNeededBy(roots, parts[i], set);
             default:
                 ;               // nothing to do
             }
@@ -1000,7 +1003,16 @@ public class TypesAsValuesPhase extends Phase {
         }
 
         private boolean isCyclic(Symbol sym) {
-            return constructorsNeededBy(sym).contains(sym);
+            HashSet constrs = constructorsNeededBy(sym);
+            if (constrs.contains(sym))
+                return true;
+            Iterator constrsIt = constrs.iterator();
+            while (constrsIt.hasNext()) {
+                Symbol constr = (Symbol)constrsIt.next();
+                if (constr.isAbstractType())
+                    return true;
+            }
+            return false;
         }
 
         /**","- bug fix: include compound types in the comput...

- bug fix: include compound types in the computation of the set of
constructors needed to compute the parents of a class, - bug fix: handle
abstract type members in the detection of classes whose parents have to
be computed lazily (thanks Philippe)",scala_scala,train,java
b2556bed071423cff8215f850087ebc8c1ce75f1,"diff --git a/phono3py/phonon3/interaction.py b/phono3py/phonon3/interaction.py
index <HASH>..<HASH> 100644
--- a/phono3py/phonon3/interaction.py
+++ b/phono3py/phonon3/interaction.py
@@ -393,6 +393,7 @@ class Interaction(object):
             decimals=decimals,
             symprec=self._symprec)
 
+        self._phonon_done[0] = 0
         if solve_dynamical_matrices:
             self.run_phonon_solver(verbose=verbose)
         else:",Unset phonons at Gamma at initialization.,atztogo_phono3py,train,py
c50260b5825de65c79e358e7bdc4ad09be5e9e6b,"diff --git a/languagetool-server/src/test/java/org/languagetool/server/HTTPServerMultiLangLoadTest.java b/languagetool-server/src/test/java/org/languagetool/server/HTTPServerMultiLangLoadTest.java
index <HASH>..<HASH> 100644
--- a/languagetool-server/src/test/java/org/languagetool/server/HTTPServerMultiLangLoadTest.java
+++ b/languagetool-server/src/test/java/org/languagetool/server/HTTPServerMultiLangLoadTest.java
@@ -100,8 +100,7 @@ public class HTTPServerMultiLangLoadTest extends HTTPServerLoadTest {
   }
 
   private Language getRandomLanguage() {
-    Random rnd = new Random();
-    int randomNumber = rnd.nextInt(langCodeToText.size());
+    int randomNumber = random.nextInt(langCodeToText.size());
     int i = 0;
     for (Language lang : langCodeToText.keySet()) {
       if (i++ == randomNumber) {",use a static seed for better reproducability,languagetool-org_languagetool,train,java
4ee6f591272c988d39ca80d3f592843a74f3ec49,"diff --git a/code/search/filters/OrderFilters.php b/code/search/filters/OrderFilters.php
index <HASH>..<HASH> 100644
--- a/code/search/filters/OrderFilters.php
+++ b/code/search/filters/OrderFilters.php
@@ -58,7 +58,7 @@ class OrderFilters_MustHaveAtLeastOnePayment extends SearchFilter {
 		$value = $this->getValue();

 		if($value) {

 			return $query->innerJoin(

-				$table = ""\""Payment\"""",

+				$table = ""Payment"", // framework already applies quotes to table names here!

 				$onPredicate = ""\""Payment\"".\""OrderID\"" = \""Order\"".\""ID\"""",

 				$tableAlias=null

 			);",Framework already applies quotes to table names in function params - this would break MySQL,silvershop_silvershop-core,train,php
c206fea7026234975dcfa51f3d8e0a423297ae3c,"diff --git a/src/on/_domeventregexp.js b/src/on/_domeventregexp.js
index <HASH>..<HASH> 100644
--- a/src/on/_domeventregexp.js
+++ b/src/on/_domeventregexp.js
@@ -1,3 +1,3 @@
 // the regexp allows to parse things like ""click::x(.y)""
 // it's shared between few modules
-export default /([^::]+)::([^\(\)]+)?(?:\((.*)\))?/;
+export default /([^::]+)::([^()]+)?(?:\((.*)\))?/;
diff --git a/src/parsebindings/_parserdata.js b/src/parsebindings/_parserdata.js
index <HASH>..<HASH> 100644
--- a/src/parsebindings/_parserdata.js
+++ b/src/parsebindings/_parserdata.js
@@ -29,7 +29,7 @@ calc(parserData, {
     },
     escRightBracket: {
         source: 'rightBracket',
-        handler: right => right.replace(/(\]|\)|\?)/g, '\\$1')
+        handler: right => right.replace(/(]|\)|\?)/g, '\\$1')
     },
     bindingReg: {
         source: ['escLeftBracket', 'escRightBracket'],",refactor: Get rid of newly appeared ESLint errors,matreshkajs_matreshka,train,"js,js"
a6f0bf26c6b553bf3c7e568cd889f0b94fd39b65,"diff --git a/ioc_module.new-object-model.js b/ioc_module.new-object-model.js
index <HASH>..<HASH> 100644
--- a/ioc_module.new-object-model.js
+++ b/ioc_module.new-object-model.js
@@ -35,12 +35,10 @@ function registerInContainer(container) {
     .dependencies('FlowNodeHandlerFactory', 'MessageBusService', 'EventAggregator');
 
   container.register('FlowNodeInstanceService', FlowNodeInstanceService)
-    .dependencies('FlowNodeInstanceRepository', 'IamServiceNew')
-    .singleton();
+    .dependencies('FlowNodeInstanceRepository', 'IamServiceNew');
 
   container.register('ProcessModelService', ProcessModelService)
-    .dependencies('ProcessDefinitionRepository', 'IamServiceNew', 'BpmnModelParser')
-    .singleton();
+    .dependencies('ProcessDefinitionRepository', 'IamServiceNew', 'BpmnModelParser');
 
   container.register('ExecutionContextFacadeFactory', ExecutionContextFacadeFactory)
     .singleton();",Remove singleton registration from persistence services to enable mocking,process-engine_process_engine_core,train,js
365d74dd2df643381f11aa14b50296fa6073ddb2,"diff --git a/dna.js b/dna.js
index <HASH>..<HASH> 100755
--- a/dna.js
+++ b/dna.js
@@ -369,6 +369,7 @@ dna.panels = {
       if (loc === undefined)
          loc = dna.pageToken.get(key, 0);
       loc = Math.max(0, Math.min(loc, menuItems.length - 1));
+      menu[0].selectedIndex = loc;  //case where menu is a drop-down elem (<select>)
       menuItems.removeClass('selected').addClass('unselected')
          .eq(loc).addClass('selected').removeClass('unselected');
       panels = $(key).children().hide().removeClass('displayed').addClass('hidden');",Fix drop-down panel selector not remembering user's selection,dnajs_dna.js,train,js
be4020cd34b5a1ba8d3790bacee144311ad28dd3,"diff --git a/src/test/java/com/couchbase/client/dcp/perfrunner/PerformanceTestDriver.java b/src/test/java/com/couchbase/client/dcp/perfrunner/PerformanceTestDriver.java
index <HASH>..<HASH> 100644
--- a/src/test/java/com/couchbase/client/dcp/perfrunner/PerformanceTestDriver.java
+++ b/src/test/java/com/couchbase/client/dcp/perfrunner/PerformanceTestDriver.java
@@ -145,6 +145,7 @@ class PerformanceTestDriver {
                 }
 
                 latch.countDown();
+                flowController.ack(event);
                 event.release();
             }
         });","Gardening: Add missing flow control ACK in performance test driver

Change-Id: I<I>aed<I>be<I>f<I>f0c<I>bcd1d8cf<I>
Reviewed-on: <URL>",couchbase_java-dcp-client,train,java
d4fe15a7ac0501fbc69ecbb3c6696d7b8f46339b,"diff --git a/bin/deepword.js b/bin/deepword.js
index <HASH>..<HASH> 100755
--- a/bin/deepword.js
+++ b/bin/deepword.js
@@ -5,7 +5,7 @@
 const fs = require('fs');
 const args = process.argv.slice(2);
 const [name] = args;
-    
+
 if (!name)
     usage();
 else if (/^(-v|--v)$/.test(name))","chore(deepword) rm "" """,cloudcmd_deepword,train,js
19ffff3afed7fc358243eb275812bbb78efc4d23,"diff --git a/cuser/admin.py b/cuser/admin.py
index <HASH>..<HASH> 100644
--- a/cuser/admin.py
+++ b/cuser/admin.py
@@ -31,6 +31,7 @@ class UserAdmin(BaseUserAdmin):
     search_fields = ('email', 'first_name', 'last_name')
     ordering = ('email',)
 
+
 if CUSER_SETTINGS['register_proxy_auth_group_model']:
     admin.site.unregister(StockGroup)",Addressed PEP 8 error E<I>,tmm_django-username-email,train,py
662d1c20792ec52feff248b3bbe0b5102f9ef1b2,"diff --git a/setup.py b/setup.py
index <HASH>..<HASH> 100644
--- a/setup.py
+++ b/setup.py
@@ -20,7 +20,6 @@ setup(
     license=""MIT"",
     classifiers=[
         ""Programming Language :: Python"",
-        ""Programming Language :: Python :: 3.4"",
         ""Programming Language :: Python :: 3.5"",
         ""Programming Language :: Python :: 3.6"",
         ""Programming Language :: Python :: 3.7"",",setup.py: Remove Python <I> since it's not tested,manrajgrover_halo,train,py
753c7c2e5d554cc9557985e80b81af7e96172889,"diff --git a/cumulusci/core/config/OrgConfig.py b/cumulusci/core/config/OrgConfig.py
index <HASH>..<HASH> 100644
--- a/cumulusci/core/config/OrgConfig.py
+++ b/cumulusci/core/config/OrgConfig.py
@@ -38,7 +38,7 @@ class OrgConfig(BaseConfig):
         self.global_org = global_org
 
         self.name = name
-        self.is_sandbox = config.get(""sandbox"", False) if config else False
+        self.force_sandbox = config.get(""sandbox"", False) if config else False
         self._community_info_cache = {}
         self._latest_api_version = None
         self._installed_packages = None
@@ -62,7 +62,7 @@ class OrgConfig(BaseConfig):
             SFDX_CLIENT_ID = os.environ.get(""SFDX_CLIENT_ID"")
             SFDX_HUB_KEY = os.environ.get(""SFDX_HUB_KEY"")
             if SFDX_CLIENT_ID and SFDX_HUB_KEY:
-                auth_url = SANDBOX_LOGIN_URL if self.is_sandbox else self.id
+                auth_url = SANDBOX_LOGIN_URL if self.force_sandbox else self.id
                 info = jwt_session(
                     SFDX_CLIENT_ID,
                     SFDX_HUB_KEY,",rename to force_sandbox,SFDO-Tooling_CumulusCI,train,py
46cefc737a7580188deaec648407fef038462bc5,"diff --git a/core/Registry.php b/core/Registry.php
index <HASH>..<HASH> 100644
--- a/core/Registry.php
+++ b/core/Registry.php
@@ -53,7 +53,7 @@ class Registry
 
     public function getKey($key) {
         if(!$this->hasKey($key)) {
-            return null;
+            throw new \Exception(sprintf(""Key '%s' doesn't exist in Registry"", $key));
         }
         return $this->data[$key];
     }",Fix failing tests by throwing Exception when accessing unset value.,matomo-org_matomo,train,php
